_timestamp,curves/combined_loss,val/rmse,val/total_loss,val/depth_loss,val/miou,curves/val_rmse,train/seg_loss,curves/individual_losses,train/depth_loss,val/seg_loss,epoch,curves/val_miou,_runtime,train/total_loss,_step
1775589943.042295,,0.07179795051850969,0.322045470040942,0.047959607390184254,0.5231561982233098,,0.4419980303562702,,0.0490358475932574,0.2740858622959682,1.0,,42.405234825,0.4910338785737119,0
1775589985.9203265,,0.042549298159659854,0.24853626981614127,0.027614661773282385,0.5544888304479203,,0.2240415523026852,,0.030084258183202844,0.220921608900267,2.0,,85.283159681,0.25412581123887223,1
1775590033.6608193,,0.05190630487742878,0.2136403222878774,0.03030269779264927,0.5893987219215997,,0.1780430548130832,,0.027107752601992576,0.1833376241108728,3.0,,133.023866314,0.20515080771230637,2
1775590079.4279742,,0.04547379940511689,0.18280519781604646,0.030405867460464673,0.6108141446567731,,0.15338369799738236,,0.026086825718905065,0.15239933038514758,4.0,,178.790778877,0.1794705241125949,3
1775590126.3325305,,0.0412668034079529,0.16735367571550702,0.02799668378891453,0.6276952891852715,,0.136207770001381,,0.02447458670692558,0.13935699171963192,5.0,,225.695338697,0.16068235665876815,4
1775590172.4984248,,0.03691933555380693,0.13914656012304247,0.023090822976969537,0.639992714278874,,0.11783463595078346,,0.02312486412677359,0.11605573717563872,6.0,,271.861238297,0.1409595001964493,5
1775590219.0466516,,0.03517106036463427,0.1387847719921006,0.022500952942267297,0.6446686085193755,,0.11882887372469648,,0.023351589851873987,0.11628381978897821,7.0,,318.409460953,0.1421804638539857,6
1775590265.5110846,,0.03594294902942483,0.13175274751016072,0.023157292947409643,0.6553142334206445,,0.10182288467408494,,0.02183890101955609,0.10859545414882993,8.0,,364.874420494,0.1236617856441026,7
1775590311.944597,,0.03338323903107454,0.11396866102540304,0.022235644981265068,0.6730221516165599,,0.09215978828278627,,0.021611849717954372,0.09173301577804581,9.0,,411.30764542,0.11377163790166378,8
1775590358.5148048,,0.035339182183619526,0.12431640166138845,0.024154933790365856,0.6763066770831392,,0.08920727258032941,,0.021771655011763598,0.10016146763449624,10.0,,457.877764656,0.11097892758218532,9
1775590360.8191302,"{'sha256': 'ec15979ae9f106fe794247a1b0bc8e86c3e69b620eaa5578b855a1d5654694af', 'size': 104239, 'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/combined_loss_10_ec15979ae9f106fe7942.png'}",,,,,"{'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/val_rmse_10_372afdb5e5356c8d089c.png', 'sha256': '372afdb5e5356c8d089c7fc0c08d52b76a311696d70e3877bb7123511e2cf105', 'size': 91222, 'height': 1200}",,"{'format': 'png', 'path': 'media/images/curves/individual_losses_10_b3ec579b1d8b88922eef.png', 'sha256': 'b3ec579b1d8b88922eef4f7d2faa034ad6c0d033159d178bc72a00d668379084', 'size': 100744, 'height': 1200, 'width': 2000, '_type': 'image-file'}",,,,"{'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/val_miou_10_b3905199bdcb011708fe.png', 'sha256': 'b3905199bdcb011708feae8a9037fd21c31772d7d2b15eaf5efb75a364158632', 'size': 81016, 'height': 1200}",460.181808196,,10
