curves/val_miou,train/depth_loss,epoch,_timestamp,curves/val_rmse,curves/combined_loss,val/total_loss,_runtime,val/seg_loss,val/depth_loss,_step,curves/individual_losses,train/seg_loss,val/miou,train/total_loss,val/rmse
,0.04919265021391688,1.0,1775590417.7936902,,,0.31817097890944707,42.126220472,0.28462233831958167,0.03354863967332575,0,,0.4516221460034239,0.5115143438698015,0.5008147977134014,0.05011846361652253
,0.029917867398483955,2.0,1775590457.3106582,,,0.269261024774067,81.642980406,0.23952371733529226,0.029737307054419366,1,,0.2529017085090597,0.5242130660735472,0.28281957664071244,0.04367910130392937
,0.02771071310927893,3.0,1775590496.734991,,,0.22628174793152583,121.067351158,0.19893492143305522,0.027346826232378444,2,,0.21409099660021194,0.5561606252925743,0.24180171028413672,0.04147142290122925
,0.025873290473951937,4.0,1775590536.8608701,,,0.2015199332483231,161.193224147,0.1768174564081525,0.024702477490618116,3,,0.18778966819035245,0.5721325419241235,0.21366295884264278,0.039114687857883315
,0.02413188625979138,5.0,1775590576.2776675,,,0.19036403180114805,200.609891764,0.15819373289271008,0.03217029908583278,4,,0.16758158573127807,0.6098969426880902,0.1917134719960233,0.04515027432214646
,0.022663909327635106,6.0,1775590615.8257384,,,0.1729070395231247,240.158173207,0.1492160339913671,0.023691005975244536,5,,0.15076922625303268,0.606726172133291,0.17343313516454495,0.036578073683712214
,0.022304287561750475,7.0,1775590655.6264133,,,0.1569035311066915,279.958929375,0.13138211542178715,0.02552141589186494,6,,0.14032001654676934,0.6307730299521342,0.16262430364781238,0.0386241672944928
,0.021331564102202973,8.0,1775590695.564306,,,0.15620517304965428,319.896677644,0.13191813372430347,0.02428703870446909,7,,0.13025705183440067,0.6245762376559242,0.1515886160604497,0.036379132360693005
,0.020439143842482504,9.0,1775590735.502335,,,0.1474379724453366,359.83503794,0.12634597730541985,0.021091994563383714,8,,0.11914623659500416,0.6430885851441893,0.1395853801452099,0.03314788462150665
,0.020612539089423544,10.0,1775590775.4316888,,,0.14132635591049042,399.764216501,0.11338820923415441,0.027938146469375445,9,,0.11250723200909635,0.6847749370539995,0.13311977105888914,0.04276236460085899
"{'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/val_miou_10_b2d31d30a0722e7014bd.png', 'sha256': 'b2d31d30a0722e7014bdbb5420e7f81bf9f9be2de67b58a5c2aa604998b1033b', 'size': 82332}",,,1775590777.8327851,"{'format': 'png', 'path': 'media/images/curves/val_rmse_10_b1509e0ecc7c67c6cf3b.png', 'sha256': 'b1509e0ecc7c67c6cf3b26a26a8e6849f6a978446e60545cb36f7eeed591f656', 'size': 107415, 'height': 1200, 'width': 2000, '_type': 'image-file'}","{'sha256': '329ad146b775b4c565ee814900b89d290735fba23b034cd5f640d8b7b687ae7c', 'size': 102811, 'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/combined_loss_10_329ad146b775b4c565ee.png'}",,402.165036162,,,10,"{'sha256': 'a7123c1f1f8cbc9d346b9536066214ca2f7e4faa906086bfc261a8f66df54555', 'size': 108026, 'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/individual_losses_10_a7123c1f1f8cbc9d346b.png'}",,,,
