curves/individual_losses,curves/val_rmse,val/depth_loss,curves/val_miou,train/total_loss,epoch,_timestamp,train/depth_loss,val/seg_loss,val/total_loss,val/miou,train/seg_loss,curves/combined_loss,_step,_runtime,val/rmse
,,0.042733184875003875,,0.40989392718419115,1.0,1775590846.988008,0.05164270472534476,0.22467104948702313,0.2674042336524479,0.5410420427557892,0.35825122195355436,,0,56.228547396,0.0613050896615263
,,0.0291583062046104,,0.22176634821485966,2.0,1775590899.627872,0.030798898534254826,0.17131034438572232,0.20046864899377975,0.5819875466816575,0.19096744876909763,,1,108.868288241,0.04695200500270677
,,0.024536499339673255,,0.18234766124093787,3.0,1775590953.428217,0.02768320452540796,0.14540284150649632,0.16993934010702466,0.5997731477860789,0.15466445632913012,,2,162.669056561,0.038818984307230464
,,0.024054166609569202,,0.1543413106193568,4.0,1775591006.6289966,0.02545315420572111,0.11647863023810917,0.14053279752769168,0.6440308690761893,0.12888815642354337,,3,215.869395841,0.03756496910419729
,,0.024560162590609655,,0.1357598842934091,5.0,1775591059.8154151,0.023989362057615468,0.11100463640122187,0.13556479828225243,0.6615068747809714,0.11177052252311656,,4,269.05604099,0.0383577085440121
,,0.023051287269308454,,0.12189279591783564,6.0,1775591113.033151,0.023375515053246882,0.09758812260060083,0.12063940969251451,0.6880033371828442,0.09851728086458876,,5,322.273516224,0.0359438658647594
,,0.02421829139902478,,0.1127066719642979,7.0,1775591166.261907,0.022804275551374924,0.09143255106986516,0.11565084282367949,0.6939251671160397,0.08990239637329224,,6,375.502308268,0.034368528851440976
,,0.021579976622310895,,0.10314826025290692,8.0,1775591219.3865156,0.02197953855539573,0.07977552729703132,0.10135550430369755,0.7423553139407849,0.08116872148944977,,7,428.627017687,0.0326889075989288
,,0.02101455078948112,,0.09139738025817465,9.0,1775591272.5844522,0.02059197330233106,0.07493329018590943,0.09594784085712736,0.7605665666230231,0.07080540689144363,,8,481.824834561,0.03184689356694146
,,0.02081341343739676,,0.08557931892573833,10.0,1775591325.7965343,0.020667436517814688,0.07168541369693619,0.092498826838675,0.7681264288357355,0.06491188229398524,,9,535.037029957,0.03220569448811667
"{'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/individual_losses_10_c7c061dae95a7bc40bd3.png', 'sha256': 'c7c061dae95a7bc40bd3f940020d05767b522366969d0098b8745522a06e15d8', 'size': 114973}","{'sha256': 'c1eafab840371658e74cbd5519a1a1273bf2d7cee60ad04d341d81c7940bcc0a', 'size': 79924, 'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/val_rmse_10_c1eafab840371658e74c.png'}",,"{'size': 70685, 'height': 1200, 'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/val_miou_10_b8504af20acdc99e871f.png', 'sha256': 'b8504af20acdc99e871f67ba27314404a073cac16149adcc1bd411c9ecebdbcd'}",,,1775591328.1638439,,,,,,"{'width': 2000, '_type': 'image-file', 'format': 'png', 'path': 'media/images/curves/combined_loss_10_6831e5fb99a47aef5fa0.png', 'sha256': '6831e5fb99a47aef5fa02bc25e8f20f1543e4fde6db4bfc33d522978beac9252', 'size': 98463, 'height': 1200}",10,537.404123692,
