epoch,train_loss,val_loss,train_acc,val_acc
1,0.6984053333166639,0.5024698258817945,0.7816999535531816,0.8242677824267782
2,0.3593708855976795,0.40935765270720464,0.8815606130980028,0.8744769874476988
3,0.319551771760153,0.6490592213355347,0.8885276358569438,0.799163179916318
4,0.29722149710958634,0.8949938345404349,0.8931723176962378,0.698744769874477
5,0.25610223009704824,0.518665281525778,0.9019972131908964,0.8284518828451883
6,0.25198884599025007,0.3504207355582066,0.9094287041337669,0.8744769874476988
7,0.2312789256773159,0.38968300607413925,0.9191825359962843,0.8535564853556485
8,0.22033906857800162,0.36646153398684256,0.9228982814677195,0.8828451882845189
9,0.22034900887755532,0.2643909062956417,0.924756154203437,0.9121338912133892
10,0.1995643827453415,0.25092288608580954,0.927078495123084,0.9246861924686193
11,0.20556108118543168,0.28410824385148215,0.9242916860195076,0.9205020920502092
12,0.1699211328349665,0.21524134978810794,0.9363678588016721,0.9205020920502092
13,0.16755225639176047,0.32261285247674765,0.9349744542498839,0.8702928870292888
14,0.14840587026093985,0.12982827545802214,0.9451927542963307,0.9665271966527197
15,0.13009739149131722,0.19065250092376973,0.9489084997677659,0.9539748953974896
16,0.12147128913522154,0.2121831252586455,0.9544821179749187,0.9246861924686193
17,0.13535070842883778,0.21212794061235804,0.9489084997677659,0.9288702928870293
18,0.11599972178312551,0.22972466359859933,0.9549465861588481,0.9121338912133892
19,0.11436247303770466,0.2115570079519659,0.9544821179749187,0.9246861924686193
20,0.12032623103176557,0.19236236681312197,0.9563399907106364,0.9330543933054394
21,0.12118049002612849,0.20500862013907115,0.9558755225267069,0.9414225941422594
22,0.10876691477054005,0.20089068411845543,0.9577333952624245,0.9205020920502092
23,0.11749139961410665,0.2101821296860047,0.9521597770552717,0.9372384937238494
24,0.1161719671767629,0.14052464510947388,0.9591267998142127,0.9581589958158996
25,0.10569987900267908,0.15242789808181445,0.9591267998142127,0.9539748953974896
26,0.11182908123446464,0.20262258314375597,0.9540176497909894,0.9288702928870293
27,0.10475688116604188,0.14288834295582384,0.9605202043660009,0.9581589958158996
28,0.08314559401756544,0.13210799113825883,0.9656293543892244,0.9581589958158996
29,0.08249635839401374,0.12160124052481562,0.9670227589410125,0.9581589958158996
30,0.07274572570283525,0.12286795091729565,0.9739897816999535,0.9623430962343096
31,0.07709536753089634,0.12318605351920345,0.9707385044124478,0.9665271966527197
32,0.06985940980170004,0.12086253792873611,0.9749187180678124,0.9707112970711297
33,0.07968266564042857,0.1569422078113097,0.972131908964236,0.9539748953974896
34,0.08062278901525724,0.15902969722439259,0.9684161634928008,0.9456066945606695
35,0.0706433464538979,0.14041373922348813,0.9763121226196005,0.9581589958158996
36,0.08453796967289584,0.17306359396822688,0.967487227124942,0.9414225941422594
37,0.07559886523874981,0.15153535234154433,0.9716674407803065,0.9623430962343096
38,0.07231336357777084,0.14674634651123122,0.9712029725963771,0.9539748953974896
39,0.0635066879554178,0.16303216506119148,0.97677659080353,0.9497907949790795
40,0.06378179758071685,0.12943304005341028,0.9739897816999535,0.9665271966527197
